# a	b	shared_blobs	shared_bytes
globalgrid2050	testcode	1246	153469137
globalgrid2050	pipelinenews	546	80994294
galaxies-wafers	testcode	267	4916942
pipelinenews	testcode	142	19309258
globalgrid2050	star-quantum-twin	82	16831508
globalgrid2050-homepage	globalgrid2050-hompage	57	287120
globalgrid2050	star-electron-star	47	8284853
gridatlas	testcode	41	11692226
teleprinter	testcode	34	618899
globalgrid2050	teleprinter	30	593133
globalgrid2050	gridatlas	29	9871478
Kuiper-belt	unnamed-01	24	160036
unnamed-05	testcode	22	7513697
layout-tool	testcode	20	208919
globalgrid2050	layout-tool	19	208853
unnamed-05	globalgrid2050	19	7461281
globalgrid2050	star-sector-star	18	2187782
cable-trench-or-drill	testcode	17	227461
cable-trench-or-drill	globalgrid2050	16	227395
code-generator	gridatlas	16	949627
code-generator	globalgrid2050	11	960572
cable-trench-or-drill	layout-tool	10	131416
galaxies-wafers	globalgrid2050	10	57489
galaxies-wafers	star-electron-star	7	43248
testcode	ventus-grid-engine	6	216096
code-generator	testcode	6	854174
data-federation-map-for-globalgrid2050-all-repos	ventus-grid-engine	6	11272
globalgrid2050	star-solar-star	5	1931831
gridmachine1	gridmachine2	5	27395
globalgrid2050	star-maker	4	366757
star-maker	star-quantum-twin	4	366757
star-maker	stars	4	105260
Kuiper-belt	globalgrid2050	3	3717457
globalgrid2050	globalgrid2050-homepage	3	11507
globalgrid2050	globalgrid2050-hompage	3	11507
pipelinenews	spiders	3	14006
gridatlas	ventus-grid-engine	3	63089
chatgpt-audits	claude	2	66
chatgpt-audits	galaxies-wafers	2	66
chatgpt-audits	globalgrid2050-homepage	2	66
claude	galaxies-wafers	2	66
claude	globalgrid2050-homepage	2	66
galaxies-wafers	globalgrid2050-homepage	2	66
unnamed-05	layout-tool	2	1870
globalgrid2050-homepage	grid-distance-maths	2	11424
globalgrid2050-homepage	testcode	2	11424
globalgrid2050-homepage	ventus-grid-engine	2	11424
grid-distance-maths	testcode	2	11424
grid-distance-maths	ventus-grid-engine	2	11424
unnamed-02	globalgrid2050	2	132057
chatgpt-audits	code-generator	2	27441
claude	code-generator	2	6078
code-generator	pipelinenews	2	9573
gb-electricity-ui	globalgrid2050-homepage	2	6918
gb-electricity-ui	globalgrid2050-hompage	2	6918
gb-electricity-ui	pipelinenews	2	2648
gb-electricity-ui	spiders	2	2648
globalgrid2050	stars	2	358019
globalgrid2050-homepage	pipelinenews	2	11358
globalgrid2050-homepage	spiders	2	11358
code-generator	ventus-grid-engine	2	8112
companies	pipelinenews	2	2671
cvaa	gridatlas	2	7355
data-gb-electricity	pipelinenews	2	6777
data-gridatlas	gridatlas	2	2747
data-gridatlas	pipelinenews	2	981986
grid-distance-maths	gridatlas	2	14006
grid-distance-maths	pipelinenews	2	14006
grid-distance-maths	spiders	2	14006
gridatlas	pipelinenews	2	14006
gridatlas	spiders	2	14006
globalgrid2050	particle-physics-drawing-engine	2	150183
stars	testcode	2	8874
Kuiper-belt	cable-trench-or-drill	1	66
Kuiper-belt	chatgpt-audits	1	66
Kuiper-belt	claude	1	66
Kuiper-belt	codex-chatgpt	1	66
Kuiper-belt	data-grid-gb	1	66
Kuiper-belt	elements	1	66
Kuiper-belt	galaxies-wafers	1	66
Kuiper-belt	gemini	1	66
Kuiper-belt	unnamed-05	1	66
Kuiper-belt	globalgrid2050-homepage	1	66
Kuiper-belt	gpu-drivers-for-global-grid	1	66
Kuiper-belt	grid-dictionary	1	66
Kuiper-belt	grid-distance-maths	1	66
Kuiper-belt	layout-tool	1	66
Kuiper-belt	linux-for-the-power-grid	1	66
Kuiper-belt	particle-physics-drawing-engine	1	66
Kuiper-belt	star-cable-derating-star	1	66
Kuiper-belt	star-electron-star	1	66
Kuiper-belt	star-quantum-twin	1	66
Kuiper-belt	star-sector-star	1	66
Kuiper-belt	star-seer-star	1	66
