# repo	blobs	bytes	degree	shared_blobs	class
Kuiper-belt	120	24396280	29	54	knot
unnamed-01	24	160036	28	51	knot
Mahabharata	5	4146651	13	13	knot
Solar-PV-Hybrid-and-off-grid	1	80	0	0	void
unnamed-02	320	2034035	13	14	knot
architecture	1	61	0	0	void
cable-trench-or-drill	45	322818	29	69	knot
unnamed-03	1	130	0	0	void
chatgpt-audits	3531	36490866	39	43	knot
claude	576	59118435	38	42	knot
code-generator	78	2289860	18	52	knot
codex-chatgpt	32	330165	28	28	knot
companies	137	3779640	16	17	knot
control-pad	12	91014	0	0	void
cosmic	96	3423092	1	1	leaf
unnamed-04	4	19934	0	0	void
cvaa	159	993927	12	13	knot
data-centres-gb	46	586176	12	12	knot
data-federation-map-for-globalgrid2050-all-repos	263	1738405	12	17	knot
data-gb-electricity	871	134666008	12	13	knot
data-grid-gb	52	46512719	31	31	knot
data-gridatlas	143	100154319	13	15	knot
data-interconnectors	21	120479	13	13	knot
data_uk_dno_and_tso	39	156800	0	0	void
elements	72	16311720	29	29	knot
galaxies-wafers	825	20243096	39	323	knot
gb-electricity-ui	19	104752	22	26	knot
gemini	11	62183	28	28	knot
unnamed-05	55	7630501	29	69	knot
globalgrid2050	17386	5710503731	33	2110	knot
globalgrid2050-homepage	61	300012	39	106	knot
globalgrid2050-hompage	59	301488	13	72	knot
gpu-drivers-for-global-grid	65	389389	28	28	knot
grid	1	23	0	0	void
grid-dictionary	14	256614	28	28	knot
grid-distance-maths	20	197089	39	45	knot
gridatlas	2113	134039488	16	106	knot
gridmachine1	160	1059198	2	6	filament
gridmachine2	162	10197602	1	5	leaf
layout-tool	37	271545	29	76	knot
linux-for-the-power-grid	18	470999	28	28	knot
particle-physics-drawing-engine	696	49743132	29	30	knot
pipelinenews	2042	146699535	25	721	knot
unnamed-06	21	89605	0	0	void
pv-arc-protection-circuit	88	2045973	0	0	void
registry_of_all_content_in_repos_and_dependencies	123	67566651	13	13	knot
reports	25	58870	0	0	void
seed-data	31	376169	0	0	void
solar-electrical-topology-analysis-engine-text-based	857	8721008	1	1	leaf
solar-repowering-whitepaper	9	122016	0	0	void
spiders	415	66707367	24	30	knot
star-cable-derating-star	2	705	28	28	knot
star-electron-star	65	8449908	29	81	knot
star-maker	5075	161756943	3	12	knot
star-quantum-twin	88	16858531	30	114	knot
star-sector-star	21	2189935	29	46	knot
star-seer-star	1	66	28	28	knot
star-solar-star	119	3977973	29	33	knot
stars	4587	2224071113	16	21	knot
stones	17	35110	28	28	knot
studies	1	66	28	28	knot
teleprinter	228	5276073	2	64	filament
testcode	2701	327014480	38	1832	knot
uk-dno-data	1	74	0	0	void
v11	185	1563518	1	1	leaf
ventus-grid-engine	235	3306260	34	49	knot
ventusltd.com	2	2207	28	28	knot
youengineer-code-review	92	501970	1	1	leaf
